	sex	blood_group	job	residence	birthdate	ssn	current_location	race	name
144	F	AB-	Educational psychologist	"14997 Brittany Ports Suite 124
Port Kristenside, CO 25046"	06/27/1985, 00:00:00	258-12-2623	(Decimal('-63.969502'), Decimal('-12.840529'))	Black	Lisa Reid
145	M	A+	Information officer	"99374 Brooke Mountains Suite 876
New Gregory, OR 95126"	1931-01-09	364-57-3602	(Decimal('19.0593475'), Decimal('14.559805'))	White	Phillip Dixon
146	M	A+	Local government officer	"05805 Laura Corners
Port Charlesburgh, MN 13917"	1954/03/29	079-54-7108	(Decimal('-50.6230345'), Decimal('-101.806799'))	White	Theodore Liu
147	F	B-	Audiological scientist	"203 Garcia Mission
South Laurenland, MI 90062"	1936-10-06	865-97-0484	(Decimal('-19.941566'), Decimal('164.134069'))	White	Danielle Herrera
148	M	AB-	Geophysical data processor	"274 Thompson Motorway Apt. 301
East Deborahberg, IN 14093"	14 Mar 1979	637-27-0729	(Decimal('7.4286745'), Decimal('-27.023462'))	White	John Roberts
149	F	B+	Music tutor	"20672 Santana Crossing
Edwardsborough, GA 31727"	1963/10/09	073-85-1178	(Decimal('23.994339'), Decimal('146.107771'))	Black	Jennifer Fisher
150	F	O+	Media planner	"92212 Shelton River
Baldwinfort, ND 46656"	1989/10/29	291-41-6418	(Decimal('2.3324095'), Decimal('162.291701'))	Hawaiian	Lindsay Jordan
151	M	B-	Interior and spatial designer	"45078 Carson Ways
North Markstad, MS 49066"	1986/04/17	333-41-0770	(Decimal('-36.286521'), Decimal('-92.932455'))	Hawaiian	Daniel Stuart
152	M	O+	Structural engineer	"36131 Brown Trail
Eugeneview, UT 66647"	01/18/1987, 00:00:00	539-02-9862	(Decimal('13.1097915'), Decimal('141.239247'))	Black	Rodney Raymond
153	F	AB+	Automotive engineer	"96126 Griffin Drive Apt. 620
West Cassidyberg, CA 80027"	1982-11-07	456-61-6944	(Decimal('-37.3237525'), Decimal('81.965986'))	White	Lauren Medina
154	F	A-	Chief Technology Officer	"007 William Mission Suite 443
Yanghaven, TN 46066"	29 Sep 2001	781-32-5660	(Decimal('-0.7933765'), Decimal('-91.179562'))	White	Leah Kim
155	M	AB-	General practice doctor	"108 Barker Gardens Suite 293
West James, SD 03128"	08/24/1910, 00:00:00	258-46-9747	(Decimal('-0.884313'), Decimal('-61.042322'))	White	Christopher Crosby
156	F	O+	Youth worker	"615 Alvarado Bypass Apt. 433
Palmerview, ME 13492"	1993-11-26	239-06-7941	(Decimal('-86.898466'), Decimal('101.134521'))	White	Ruth Simpson
157	M	AB-	Engineer, control and instrumentation	"USNV Ramos
FPO AP 59996"	2016/12/17	553-04-0683	(Decimal('82.9910535'), Decimal('-51.942337'))	White	Nathan Gates
158	M	B-	Careers information officer	"49186 Reyes Port
West Jamesbury, NM 70044"	1965-07-16	060-98-7623	(Decimal('-88.7726535'), Decimal('108.768983'))	Black	Matthew David
159	F	A+	Investment analyst	"1032 Devon Manor
Delgadohaven, WY 01673"	22 Mar 1908	356-73-5436	(Decimal('-55.9586195'), Decimal('28.361995'))	White	Virginia Herman
160	M	O-	Software engineer	"0762 Romero Gardens Apt. 459
Williambury, AL 52807"	1913-09-19	547-85-3749	(Decimal('3.1111825'), Decimal('164.002021'))	Asian	Jesse Landry
161	F	O-	Youth worker	"0373 Gonzalez Course
Jeremiahport, NM 03328"	08 Dec 2010	048-96-7055	(Decimal('-39.081789'), Decimal('-32.358952'))	Asian	Victoria Olson
162	M	A+	Technical brewer	"826 Summers Terrace
Longbury, CT 50054"	09 Sep 1975	017-93-6544	(Decimal('-88.122564'), Decimal('45.083374'))	Hawaiian	John Valentine
163	F	B-	Careers information officer	"0900 Vaughn Corner Apt. 499
Port Jessicabury, CA 03941"	11/09/1951, 00:00:00	412-30-6129	(Decimal('48.361230'), Decimal('59.401564'))	White	Jeanne Thomas
164	M	B-	Marketing executive	"538 Long Circles
South Judy, WA 55751"	26 Dec 1931	006-50-2581	(Decimal('56.053715'), Decimal('19.446623'))	White	Mark Choi
165	F	A-	Press photographer	"37510 John Fort Suite 388
Smithfurt, VA 00906"	01/31/1963, 00:00:00	463-68-9179	(Decimal('-78.718846'), Decimal('-48.278329'))	White	Jennifer Brandt
166	M	O-	Lobbyist	"5820 Richard Gardens
Carolineberg, AR 70489"	03 Jul 1988	334-32-0318	(Decimal('-66.2190985'), Decimal('160.655998'))	Asian	Evan Snow
167	F	B-	Personnel officer	"Unit 3938 Box 8016
DPO AE 92026"	05/14/1979, 00:00:00	009-07-8333	(Decimal('76.403545'), Decimal('67.609593'))	White	Kayla Oliver
168	M	O-	General practice doctor	"7477 Deborah Canyon
Wolftown, CT 47472"	1978-12-10	118-72-4610	(Decimal('47.8414735'), Decimal('-146.466991'))	White	Jorge Garcia
169	M	AB+	Radio broadcast assistant	"404 James Avenue Apt. 710
East Kristina, CA 09515"	04 Jun 1913	124-20-0675	(Decimal('-58.462042'), Decimal('156.622166'))	Black	Jonathan Sanford
170	F	AB+	Therapist, nutritional	"78591 Lee Ramp
Lake Rebeccachester, ND 43501"	1999/04/21	297-01-4152	(Decimal('-68.2489975'), Decimal('-45.300425'))	Black	Brenda Snyder
171	F	A+	Therapeutic radiographer	"153 Smith Turnpike Apt. 320
Rojasside, KS 63720"	14 Jan 1974	363-32-3801	(Decimal('-24.3145025'), Decimal('107.163695'))	White	Samantha Brown
172	M	A+	Psychologist, prison and probation services	"9332 Jennifer Street Apt. 151
Shawnmouth, VT 15874"	05/14/1964, 00:00:00	531-12-7931	(Decimal('82.486253'), Decimal('76.551816'))	White	Justin Crawford
173	M	B-	Pathologist	"2680 Brown Cape Apt. 510
Thompsonfurt, IA 05648"	12 Jun 1990	331-03-5343	(Decimal('43.9824965'), Decimal('46.305978'))	White	Michael Myers
174	F	AB-	Designer, graphic	"34037 Jackson Creek Apt. 317
Milesbury, NH 98251"	2020/05/23	753-46-8312	(Decimal('3.9079315'), Decimal('14.462495'))	White	Dana Turner
175	F	O+	Human resources officer	"6481 John Skyway Suite 492
Brownview, TN 55388"	21 Oct 2008	445-55-1924	(Decimal('35.041721'), Decimal('38.305878'))	White	Dr. Jessica Martin
176	M	AB+	Conference centre manager	"437 Brooks Lights
Shaunport, IL 61442"	1987/11/12	228-32-3919	(Decimal('-31.758526'), Decimal('69.241747'))	White	Scott Wells
177	F	AB+	Financial adviser	"873 Jennifer Loop
Lake Lindsay, LA 30155"	16 Aug 2020	015-97-8844	(Decimal('14.441624'), Decimal('-19.436778'))	White	Caitlin Collins
178	M	AB+	Therapist, art	"9232 Carla Forest Suite 653
Hendersonburgh, PA 60900"	02 Jan 1985	021-18-7651	(Decimal('28.7045935'), Decimal('35.146788'))	black	Jeffrey Gray
179	F	O+	Regulatory affairs officer	"3072 Andrea Mountains Suite 586
Brandymouth, IL 69226"	11 Jul 1937	236-31-0557	(Decimal('7.7281665'), Decimal('-38.807280'))	Black	Joanne Shepherd
180	F	O+	Purchasing manager	"062 Gordon Island
New Jordan, PA 10036"	1969-08-27	251-42-4164	(Decimal('15.421365'), Decimal('156.107881'))	White	Julie Owens
181	M	AB+	Architect	"214 Jacob Loop
Sarahchester, MO 24908"	1932-03-08	215-27-9247	(Decimal('-16.1066465'), Decimal('145.442202'))	White	Daniel Simpson
182	M	AB+	Lawyer	"29054 Benjamin Route Apt. 711
Robertoton, SC 05149"	2001/07/24	250-14-9790	(Decimal('76.7828325'), Decimal('84.702096'))	White	Douglas Smith
183	F	B-	Programmer, applications	"474 Brown Ways
New Michael, AK 76658"	1940-09-05	384-96-9298	(Decimal('-77.393639'), Decimal('-68.082757'))	White	Kara James
184	F	O-	Customer service manager	"81468 Marcus Crossing Suite 280
New Kyle, TX 81705"	2015-12-28	330-40-8048	(Decimal('-31.5289725'), Decimal('-27.756566'))	White	Jennifer Grant
185	F	B-	Secretary/administrator	"5062 Anderson Mountain Apt. 576
West Brianna, OK 44542"	1976-09-01	120-25-1228	(Decimal('17.777502'), Decimal('75.699602'))	Black	Robin Tapia
186	M	A+	Dispensing optician	"40473 Kimberly Trafficway
Lake Patrick, VT 51634"	1942-02-21	842-98-8892	(Decimal('26.5434875'), Decimal('10.516148'))	White	Michael Bradford
187	F	A-	Engineer, maintenance (IT)	"USNV Jones
FPO AP 53455"	1940/10/28	460-22-0015	(Decimal('3.3578365'), Decimal('-75.840145'))	Black	Barbara Patel
188	M	A-	Nurse, adult	"274 Leah Mountain
Stanleyland, AK 03981"	2007-10-12	208-45-8319	(Decimal('18.1894855'), Decimal('138.362630'))	White	Robert Pacheco
189	M	O+	Legal executive	"6021 Thomas Village
Parkmouth, HI 53460"	03/22/1971, 00:00:00	680-38-5765	(Decimal('54.9030595'), Decimal('-108.136295'))	Black	Douglas Allen
190	F	AB-	Network engineer	"40392 Jennifer Trail
South Amberhaven, MA 69597"	21 Aug 1918	346-60-6328	(Decimal('55.111555'), Decimal('177.192195'))	Black	Nicole Harrington
191	F	AB+	Politician's assistant	"Unit 1605 Box 2291
DPO AP 79059"	1923-10-14	709-80-1398	(Decimal('-42.152318'), Decimal('-110.998423'))	Black	Rebecca Hunt
192	F	A+	Geologist, engineering	"8331 Jorge Crossroad
Danielmouth, ND 90602"	13 Sep 1991	106-85-5776	(Decimal('-4.1842175'), Decimal('76.683965'))	White	Dorothy Brandt
193	F	O-	Journalist, magazine	"55248 Spence Forks
New Linda, ME 30239"	1936/12/13	600-53-3805	(Decimal('-59.7367525'), Decimal('-109.804515'))	White	Holly Thompson
194	M	A+	Government social research officer	"2903 Reed Mills
North Kelly, WI 51519"	03 Mar 1965	702-80-6604	(Decimal('14.4483495'), Decimal('-98.781759'))	Black	Dan Russell
195	M	O+	Designer, jewellery	"Unit 9722 Box 4331
DPO AA 95356"	1923-05-11	675-54-8981	(Decimal('67.7605295'), Decimal('-13.233064'))	Indian	Daniel Roach
196	M	AB-	Advertising account planner	"919 Hoffman Station Apt. 702
Lake Michaelside, TN 78354"	1945/08/13	466-48-1282	(Decimal('-57.692251'), Decimal('92.098868'))	White	Philip Smith
197	M	AB-	Social worker	"80847 Audrey Row
Michelleberg, IA 97288"	1964/08/28	863-30-4078	(Decimal('-61.1157295'), Decimal('86.515409'))	Black	Nathan Solomon
198	M	O+	Environmental education officer	"48216 Christina Spurs Apt. 852
Aaronmouth, ME 77803"	1927/02/07	011-17-3430	(Decimal('22.126291'), Decimal('5.528637'))	Black	James Pennington
199	F	AB-	Child psychotherapist	"468 Jamie Pine Suite 184
Port Dustinburgh, IL 58072"	2019-02-17	343-07-5929	(Decimal('-19.173665'), Decimal('-135.924987'))	Asian	Sarah Ashley
200	F	B-	Adult guidance worker	"601 Miller Walks Suite 905
North Nicholaschester, WY 12390"	03 Jun 1987	480-65-3609	(Decimal('65.2365685'), Decimal('84.481551'))	Black	Claudia Diaz
201	F	AB-	Charity officer	"101 Eric Forest Apt. 801
Maryside, MI 42065"	11/07/1935, 00:00:00	745-82-4843	(Decimal('5.527216'), Decimal('-101.090357'))	White	Brianna Burnett
202	M	O-	Engineer, biomedical	"361 Cruz Squares Apt. 724
Robinsonborough, AK 34000"	1906-03-05	542-03-0206	(Decimal('-51.1712505'), Decimal('-145.680838'))	White	Matthew Soto
203	M	AB+	Leisure centre manager	"44966 Amanda Neck Suite 008
Brucefort, AL 56299"	26 Aug 1993	101-91-1046	(Decimal('-32.377345'), Decimal('29.251449'))	White	Christopher Hammond
204	F	B+	Occupational therapist	"11893 Cox Garden
Rosariobury, NC 37853"	1905/11/04	806-87-3133	(Decimal('-40.2784255'), Decimal('-152.987164'))	White	Natalie Jordan
205	M	B+	Merchandiser, retail	"384 Martin Creek Suite 955
South Jonathon, IL 13389"	2002/05/10	267-73-6396	(Decimal('10.851191'), Decimal('-158.270680'))	White	Harry Freeman
206	F	O+	Civil engineer, consulting	"290 Romero Court
Lake Cassandra, GA 25956"	08 Apr 2016	577-55-2807	(Decimal('-76.4406245'), Decimal('-156.509231'))	White	Laura Smith
207	F	B-	Market researcher	"78558 Emily Views
Port Jerry, FL 00796"	05/25/1974, 00:00:00	128-43-6041	(Decimal('61.5254055'), Decimal('69.028423'))	White	Elizabeth Cook
208	M	B-	Marine scientist	"6312 Tammy Mission Suite 054
Danielport, OH 48896"	09/19/1949, 00:00:00	004-32-9908	(Decimal('50.7419575'), Decimal('115.044652'))	Hawaiian	Fernando Ramirez
209	F	A+	Exhibition designer	"022 Jillian Coves
Lake Rebecca, NC 95714"	06 Nov 1989	777-70-8714	(Decimal('-31.458030'), Decimal('-115.574820'))	White	Rebecca Hines
210	M	A+	Garment/textile technologist	"93247 Becker Extensions
Harmonshire, WI 72337"	11/01/2010, 00:00:00	299-21-6804	(Decimal('20.665710'), Decimal('-0.446395'))	White	Kenneth Conner
211	F	B-	Exhibitions officer, museum/gallery	"1936 Michael Stravenue
South Sharonview, SC 12069"	01/12/1953, 00:00:00	664-28-5712	(Decimal('35.906217'), Decimal('127.870363'))	White	Andrea Diaz
212	F	AB+	Newspaper journalist	"19082 Carter Parkways
Freemanside, VT 84529"	1919-01-22	795-39-1328	(Decimal('-42.2780345'), Decimal('-9.888246'))	Black	Samantha Johnson
213	M	B+	Diagnostic radiographer	"PSC 0465, Box 6712
APO AA 47712"	04/23/2002, 00:00:00	515-86-7102	(Decimal('23.2067565'), Decimal('-28.863138'))	Black	Douglas Deleon
214	F	A-	Fish farm manager	"424 Chad Estates
Edwardsfurt, AZ 57507"	31 Jan 1932	305-83-5412	(Decimal('-89.933525'), Decimal('-30.124449'))	Black	Emily Carr
215	F	O+	Learning disability nurse	"762 Bowman Mount
Greenport, LA 76366"	1992/12/02	462-59-9432	(Decimal('-40.842832'), Decimal('14.478326'))	White	Ashley Duffy
216	M	AB-	Television production assistant	"213 Rogers Inlet Apt. 988
West Jessicaville, MO 30847"	2002/07/16	599-48-6907	(Decimal('39.6774705'), Decimal('-60.961959'))	White	Andrew Johnson
217	F	AB-	IT sales professional	"1082 Cynthia Circles
Gutierrezfort, MO 29937"	2020/03/08	550-26-0617	(Decimal('12.0084955'), Decimal('73.086743'))	White	Deborah Chavez
218	M	AB+	Hospital doctor	"191 Smith Manors
Mcdowellbury, IL 07209"	02/26/1991, 00:00:00	582-60-6529	(Decimal('-51.5770495'), Decimal('4.634126'))	White	Donald Green
219	M	AB-	Teacher, English as a foreign language	"4665 Bruce Throughway
New Richard, AL 76338"	1942/11/01	443-48-2052	(Decimal('68.695096'), Decimal('-139.900677'))	White	Curtis Hernandez
220	M	B+	Media buyer	"PSC 9899, Box 5110
APO AE 00827"	05/19/1977, 00:00:00	004-56-6300	(Decimal('41.6586195'), Decimal('75.028937'))	White	Steven Adams
221	F	O-	Optician, dispensing	"075 Susan Row
Jonesfurt, VT 80545"	1954/03/19	742-10-8084	(Decimal('36.978312'), Decimal('134.690308'))	Black	Christina Winters
222	M	B-	Programme researcher, broadcasting/film/video	"USNV Brooks
FPO AE 07334"	2000-10-24	005-19-2962	(Decimal('32.0359815'), Decimal('-29.036270'))	White	Austin Mitchell
223	M	O-	Furniture conservator/restorer	"35353 Hart Mountain
West Joseph, NJ 43778"	29 Sep 1967	125-84-7498	(Decimal('4.860654'), Decimal('-133.348316'))	White	Terry Davis
224	F	A+	Ergonomist	"PSC 2470, Box 7517
APO AE 08761"	1923-10-28	542-17-1710	(Decimal('18.7136055'), Decimal('-33.387791'))	Asian	Lauren Gonzales
225	F	O-	Podiatrist	"8562 Gomez Union Suite 618
West Isabella, NC 08588"	24 Mar 1995	746-80-3532	(Decimal('-57.404941'), Decimal('-1.918107'))	blsck	Marie Andrews
226	F	B-	Administrator, sports	"26123 Shawn Junction Apt. 769
West Adamfurt, WV 54691"	1955-05-19	593-13-6056	(Decimal('-75.837039'), Decimal('139.064976'))	Asian	Joyce Guzman
227	M	B+	Science writer	"811 Myers Orchard Apt. 346
Lake Michele, ND 36533"	2001/01/05	717-14-2842	(Decimal('-71.242885'), Decimal('-129.157755'))	White	Henry Thomas
228	F	A+	Accountant, chartered	"4051 Kennedy Walks Apt. 548
Cobbport, ND 59794"	09/06/1926, 00:00:00	182-61-0675	(Decimal('-79.313806'), Decimal('165.837095'))	Black	Stacy Pugh
229	F	A+	Graphic designer	"9747 Corey Center
Jasonville, NH 52284"	30 Apr 1937	720-23-9803	(Decimal('-53.6163515'), Decimal('-10.881117'))	Asian	Gina Martinez
230	M	A+	Building control surveyor	"97521 Kayla Lakes Suite 752
Port Danielle, VT 43962"	2014-02-06	284-18-0047	(Decimal('23.487343'), Decimal('-127.402694'))	white	Christopher Reyes
231	M	B+	Materials engineer	"52886 Shannon Loop
Edwardsland, NH 73676"	01 May 2021	541-78-4248	(Decimal('-12.914848'), Decimal('119.481502'))	Black	Jason Jenkins
232	F	A+	Engineer, automotive	"0236 Hill Motorway Suite 748
Snyderfort, IN 26128"	04/06/2018, 00:00:00	699-92-7397	(Decimal('15.421893'), Decimal('162.108778'))	Black	Tracy Johnson DDS
233	M	B+	Chiropodist	"18555 Mark Knolls Suite 228
Waynemouth, DC 82878"	1936-09-02	547-23-9983	(Decimal('12.3672565'), Decimal('95.875104'))	White	Mr. James Williamson
234	M	B+	Academic librarian	"840 Kaylee Pass Apt. 947
West George, AL 77798"	1988-06-13	389-71-3753	(Decimal('-32.618654'), Decimal('-110.480831'))	Black	James Weiss Jr.
235	M	AB+	Special effects artist	"160 Tucker Garden Suite 200
Lake William, RI 52563"	29 Mar 1958	504-91-8534	(Decimal('47.342488'), Decimal('-28.729052'))	White	Jason Hogan
236	F	B+	Bonds trader	"Unit 8485 Box 3325
DPO AA 74271"	1983/05/27	421-60-7334	(Decimal('6.762271'), Decimal('50.391156'))	Black	Katherine Johnson
237	M	O+	Midwife	"95286 Gilbert Station
Brucechester, LA 30192"	13 Feb 1946	685-09-6580	(Decimal('-89.631986'), Decimal('56.167382'))	Black	Harry Gilbert
238	F	O-	Financial planner	"880 Heather Pines
North Shannonberg, NJ 37809"	2019/01/12	372-87-7487	(Decimal('10.5802785'), Decimal('-147.011372'))	Black	Amber Morrison
239	F	O+	Development worker, international aid	"771 Walker Fords
North Pamelachester, MI 97057"	1927-12-05	333-22-0442	(Decimal('-69.340598'), Decimal('-151.378516'))	White	Jamie Decker
240	F	O+	Travel agency manager	"2864 Laura Row
New Seanchester, UT 44568"	29 May 1992	603-50-2950	(Decimal('77.664200'), Decimal('44.978242'))	White	Kristie Smith
241	M	B-	Technical author	"3984 Nicholas Manor Apt. 613
North Monicaview, WI 43442"	1926/12/23	492-64-8563	(Decimal('84.882036'), Decimal('62.932122'))	Asian	Matthew Singleton
242	F	O+	Water engineer	"967 Eric Port Apt. 125
South Kelly, MA 98912"	28 Apr 1954	774-10-5759	(Decimal('-15.016076'), Decimal('158.388420'))	White	Veronica Hernandez
243	M	O-	Data scientist	"Unit 8159 Box 8404
DPO AE 32613"	1983-05-08	347-09-5317	(Decimal('7.2645765'), Decimal('-154.929296'))	Asian	Michael Escobar
244	M	O+	Further education lecturer	"72207 Grant Parkway Apt. 673
Powellland, DC 92418"	1931/06/05	464-91-4568	(Decimal('-46.7877455'), Decimal('-168.360233'))	White	Kevin Gay
245	F	AB-	Manufacturing engineer	"153 Adam Island
Michaelview, FL 81886"	10/24/1964, 00:00:00	346-90-4518	(Decimal('80.141569'), Decimal('26.601077'))	White	Tonya Pierce
246	M	B-	Film/video editor	"896 Mcdonald Course
Lake Teresaborough, OK 04381"	02 May 1912	768-63-5738	(Decimal('-44.451447'), Decimal('-98.251366'))	White	Lance Stout
247	M	B+	Gaffer	"70974 Mays Parkways Apt. 994
East Jamesfurt, TX 58227"	06/08/1974, 00:00:00	847-06-4515	(Decimal('-32.1022255'), Decimal('-159.367334'))	Black	John Phillips
248	M	O+	Development worker, community	"Unit 0437 Box 2391
DPO AA 94979"	24 Jun 1998	692-61-2980	(Decimal('83.2444285'), Decimal('87.721920'))	White	Frank Andersen
249	M	O-	Tax inspector	"5031 Gonzalez Isle
East Patriciashire, LA 01460"	13 Mar 2000	054-09-4527	(Decimal('61.2152115'), Decimal('-59.748854'))	Black	Aaron Mendoza
250	M	O-	Psychotherapist, child	"7128 Savannah Bypass
West Lori, SC 04830"	26 Jun 1925	384-90-2815	(Decimal('11.6490235'), Decimal('0.422300'))	White	Kelly Torres
251	M	A-	Veterinary surgeon	"8498 Williams Park Apt. 727
Castrotown, AR 67700"	15 Dec 1957	733-87-7930	(Decimal('40.0657185'), Decimal('164.766556'))	Black	Andrew Cruz
252	F	B+	Buyer, retail	"71110 Fleming Ridges
New Christinemouth, AR 01591"	01/14/1917, 00:00:00	393-37-4518	(Decimal('-56.329497'), Decimal('-6.184177'))	White	Angela Lewis
253	F	A+	Agricultural consultant	"646 Lisa Common
Brianstad, SC 36447"	2000/11/13	332-21-0857	(Decimal('64.141555'), Decimal('-37.776452'))	Asian	Ashley Gilbert
254	M	O-	Music therapist	"2214 Andrade Courts
Port Courtneyview, WV 72751"	1964/09/22	089-25-2953	(Decimal('-10.697132'), Decimal('-56.845969'))	White	Bradley Smith
255	F	B-	Risk analyst	"3168 Ashley Valley Apt. 539
East Juanborough, NV 92378"	1970/05/02	085-87-9314	(Decimal('87.812727'), Decimal('28.312314'))	White	Laura Rodriguez
256	F	A-	Animal technologist	"592 Hopkins Skyway
East Robertstad, UT 25586"	1930-04-07	110-71-9356	(Decimal('-52.6932035'), Decimal('-21.878767'))	Black	Nicole Stevens
257	M	A-	Surveyor, minerals	"1257 Austin Pass Apt. 699
East Heidimouth, DC 69163"	28 Aug 2019	332-66-2875	(Decimal('23.9067225'), Decimal('-55.508927'))	White	Jordan Powell
258	M	AB-	Buyer, retail	"082 Archer Locks Suite 282
South Malik, DE 25000"	17 Dec 1941	295-44-3792	(Decimal('73.2765275'), Decimal('113.506571'))	White	James Middleton
259	F	O+	Early years teacher	"52700 Campbell Shore Suite 033
East Stephanie, ND 10451"	1942/05/01	379-02-9259	(Decimal('-36.7459485'), Decimal('-145.294211'))	White	Diane Randolph
260	M	B-	Network engineer	"5580 Newton Lane
Timothyland, WA 94412"	12/24/1954, 00:00:00	083-58-4124	(Decimal('28.216546'), Decimal('-109.218015'))	White	Matthew Snyder
261	M	AB+	Civil Service fast streamer	"6303 Allison Plaza Suite 456
Robertsontown, GA 48013"	1949-12-03	799-99-1649	(Decimal('72.7780285'), Decimal('111.701855'))	Hawaiian	Wayne Rivas
262	F	B+	Embryologist, clinical	"USNS Small
FPO AP 32696"	1958-11-19	618-19-6171	(Decimal('-56.669384'), Decimal('-105.879047'))	Indian	Krystal Tate
263	M	O+	Associate Professor	"PSC 3270, Box 6489
APO AA 30886"	04/17/1983, 00:00:00	667-61-5587	(Decimal('-76.1357155'), Decimal('160.162543'))	Black	Christopher Clark MD
264	M	O+	Farm manager	"698 Alyssa Shores
West Kyletown, CA 47037"	1914/11/04	750-70-5813	(Decimal('-85.697470'), Decimal('46.767912'))	White	Mr. John Roach
